City,State,Geo.ID,Percent of GDP based on water intensive industries_2015,Percentage of workforce in Farming Fishing and Forestry 2015,Existence of drought management plans_2015,Existence of water management plan_2015,Baseline water stress_2014,Readiness to accept adaptation investment_2015,Tax incentives for renewable energy_2015,Total number of federal public corruption convictions by district_2015,Civic engagement_2010,General innovation capabilities_2015,Estimated percent of adults who think global warming is already harming people in the US now or within 10 years_2014,Percent of population with less than 12th grade education_2015,Population density_2015,Water quality_2015,City debt_2010,Percent of population in floodzone_2015,Percent of buildings in floodzone_2015,Percent of cars in floodzone_2015,Percent of area that is impervious surface_2011,Number of acute care hospital beds available per 1000 residents_2015,Percent of population that is 65 years old or older living alone_2015,Percent of population that is 5 years old or younger_2015,Percent of population with health insurance_2015,Percent of buildings built before 1999_2015,Percent of population residing in the mobile homes_2015,Percent of population spending over 50 percent of income on rent_2015,Percent of land covered by tree canopy_2011,Percent of houses with heating_2015,Percent of population with a disability_2015,Percent of population in poverty_2015,Percent of buildings built before 1979_2015,Outdoor workers_2015,Percent of households without access to a vehicle_2015,Percent of population in 1ft sea level rise zone_2015,Percent of population in 3ft sea level rise zone_2015,Average economic impact of 1ft sea level rise_2015,Average economic impact of 3ft sea level rise_2015,,Latitutde,Longitude,County,Region, City Area_KM,2010 Population,2011 Population,2012 Population,2013 Population,2014 Population,2015 Population,Median Income
Springfield (IL),IL,1600000US1772000,3.370532258,0.314340155,No,No,2.411557571,15,0,0,0.84182677,0.000185915,39,9.2,694.7445095,0,2208.7,12.14,10.86,14.02127552,32.01676113,8.175224883,13.2081068,6.3,91.2,89.53,4.3,26.9,14.98016318,0.995,15.3,16.5279288,66.1,8.46,9.9,#N/A,#N/A,,,,39.7817,-89.6501,Sangamon,Northeast,168.4950343,115121,115658,115982,116495,116815,117061,49868
Springfield (MA),MA,1600000US2567000,13.00469669,0.141276195,No,No,3.97435573,19,1,16,0.631503033,0.000209383,43,23.6,1811.88414,9,1846.55,4.93,4.63,15.61417482,37.50232734,7.690958577,10.475523,7.1,94.6,95.57,0.8,36.3,32.01212554,0.994,19.5,39.1434836,86.2,11.98,22.7,#N/A,#N/A,,,,42.1015,-72.5898,Hampden,Ohio Valley ,84.96514573,152906,152992,153278,153428,153836,153947,34728
Springfield (MO),MO,1600000US2970000,11.6931102,0.928379752,No,No,1.58334778,20,0,6,0.757843228,8.47E-05,39,11.7,775.8044855,0,2194.46,9.59,8.59,4.803305993,35.71021599,11.02813212,12.5441994,5.9,82.9,87.57,2.3,26.2,13.44047715,0.998,15.2,15.6563956,61.4,10.87,8.9,#N/A,#N/A,,,,37.209,-93.2923,Greene,Ohio Valley ,211.0879778,158945,159621,160246,161189,162333,163763,33557
St. Louis,MO,1600000US2965000,15.48269021,0.30748032,No,No,2.347748518,15,2,5,0.685283491,0.000324052,52,15.9,1878.833848,0,4580.42,8.86,10.07,9.850448745,53.11672613,9.602013528,10.6724947,6.7,83.4,94.85,0.4,28.1,8.929001431,0.997,15,25.1291605,88.6,10.07,21.7,#N/A,#N/A,,,,38.627,-90.1994,St. Louis,Ohio Valley ,169.1740865,318809,318367,318527,318955,318727,317850,35599
St. Paul,MN,1600000US2758000,15.47035723,0.156935745,No,No,0,20,2,4,0.719732527,0.000771694,47,13.5,2028.200149,0,2367.59,41.92,44.74,6.647464565,43.16896381,5.812712045,8.8089001,7.8,89.4,93.53,0.2,26.4,11.87940367,0.989,12,19.4684391,82.7,9.04,14.3,#N/A,#N/A,,,,44.9537,-93.09,Ramsey,Upper Midwest,145.4703571,282079,283991,286171,288802,291728,295043,48757
St. Petersburg,FL,1600000US1263000,8.723979737,0.246806138,No,Yes,0.68334697,0,0,27,0.736140581,0.000274832,45,10.5,1475.280855,0,1370.69,18.67,17.06,44.41685206,36.76594704,5.384642998,12.6001726,5,83.8,93.2,3.1,25.2,24.79299682,0.989,13.2,15.3495253,78.4,9.14,10.3,6.830120496,11.43977377,0.064391662,0.102694678,,27.7518,-82.6267,Pinellas,Southeast,169.9425565,245715,245097,245363,246642,248429,250713,45748
Stamford,CT,1600000US0973000,9.990497827,0.334346003,No,Yes,3.165851539,20,0,6,0.720090842,0.000676608,45,11,1285.334708,0,3210.67,8.22,8.33,19.17717624,22.37547393,2.409314965,10.6782475,6.7,85.7,88.59,0,25.7,49.07206155,0.998,8.3,9.4350066,65.9,14.75,11.1,1.173849848,2.939364257,0.006093815,0.010430255,,41.0534,-73.5387,Fairfield,Northeast,98.48952119,120907,121784,122878,123995,125401,126592,79359
Sterling Heights,MI,1600000US2676460,19.33395333,0.236837847,No,Yes,4.094523588,0,1,4,0.703528523,0.000415356,36,13.2,1385.881166,0,457.97,10.67,11.62,7.188890178,45.44144561,7.26709827,11.2430224,5.1,89.7,89.57,3.3,25.8,11.05966175,0.997,13,14.2585551,62.3,8.37,5.2,#N/A,#N/A,,,,42.5803,-83.0302,Macomb,Upper Midwest,94.62499614,129687,129736,129887,130209,130604,131139,60089
Stockton,CA,1600000US0675000,18.67837113,0.197628458,No,No,0,16,0,14,0.502259581,0.000132665,47,25.1,1806.169363,2,1401.05,10.49,10.29,11.56682586,46.2456904,1.888416599,8.2053224,7.9,84.6,81.82,1,33.3,6.650735314,0.992,12.7,19.9405019,55,18.85,10,#N/A,#N/A,,,,37.9577,-121.2908,San Joaquin,West,165.9434636,287377,289926,292262,294406,297223,299722,44797
Sunnyvale,CA,1600000US0677000,26.12850839,3.453528353,No,Yes,4.478620174,0,1,12,0.575827227,0.007799699,48,8.6,2630.585913,8,704.32,6.98,7.28,9.003449016,53.22553905,4.393364737,7.1241878,8.2,91.9,91.32,7.1,16.5,8.60522237,0.989,6.6,3.8751951,67.9,6.51,5,1.332181565,1.355801806,0.000949828,0.001109399,,37.3688,-122.0363,Santa Clara,West,56.32889588,136480,138436,141123,143315,145921,148178,105401
Surprise,AZ,1600000US0471510,11.40665915,0.031233326,No,No,4.283326936,0,0,18,0.665526091,0.000429552,44,7.1,452.5735498,0,433.88,2.5,2.56,6.25480252,10.90759182,0,10.3786567,6.7,92.1,33.45,4.5,22.4,1.330341025,0.997,11.6,8.1258046,4.2,9.03,2.8,#N/A,#N/A,,,,33.6292,-112.3679,Maricopa,Southwest,273.5754223,103767,110097,115007,118784,121648,123813,59916
Syracuse,NY,1600000US3673000,17.54601614,0.122256988,No,Yes,4.660237549,17,0,4,0.528783991,0.000416396,41,19.8,2192.967875,3,2071.71,3.11,3.19,1.775579698,44.52445313,9.767300296,11.2484255,7,90.3,98,0.2,33.2,17.33385342,0.993,15.4,31.6971213,91,10.35,28.8,#N/A,#N/A,,,,43.0481,-76.1474,Onondaga,Northeast,65.92162233,144734,144883,144703,144742,144648,144564,31881
Tacoma,WA,1600000US5370000,14.90240839,0.127370754,No,No,2.636675366,18,0,5,0.640460702,0.000180059,43,12.4,1557.629101,13,5354.1,11.73,11.57,3.31469168,51.88939781,4.486905411,10.4737681,6.4,85.2,89.58,0.4,26.8,14.16797144,0.994,15.2,21.6447751,69.7,13.43,9.7,0.490463483,0.539608121,0.005313289,0.005423409,,47.2529,-122.4443,Pierce,Northwest,130.6350786,198819,199449,200013,200890,201794,203481,52042
Tallahassee,FL,1600000US1270600,4.434800299,0.388904959,No,No,0.743676151,0,0,14,0.861970296,0.000169647,43,7.5,690.449726,12,1895.45,25.98,26.32,12.15710872,13.69117879,4.23475062,7.6719363,5,87.7,78.25,2.3,36.8,50.8559365,0.995,9.3,15.2511158,40.6,6.99,8.3,#N/A,#N/A,,,,30.4383,-84.2807,Leon,Southeast,270.8727268,176843,179298,181821,183638,185395,187024,39681
Tampa,FL,1600000US1271000,8.723979737,0.122891177,No,No,0.981590137,0,0,27,0.741230456,0.000229491,44,13.4,1134.111386,0,2506.82,4.12,4.2,28.24969983,33.1917009,10.15177037,9.464818,6.1,84.4,78.03,1.6,27.7,29.44598491,0.99,12.5,20.4447663,54,10.3,11.4,5.979139659,7.850327472,0.021323841,0.036097024,,27.9506,-82.4572,Hillsborough,Southeast,313.552094,333327,336171,339391,343768,348934,355603,44185
Temecula,CA,1600000US0678120,11.19193384,0.263282993,Yes,No,2.965160145,0,0,53,0.587577734,0.000116186,48,8.6,1373.767457,0,433.66,1.89,1.95,3.2853424,32.0675036,1.306542981,4.9428963,6.1,89.3,63.77,0.7,28.2,4.365476739,0.995,7.7,5.8200091,7.9,8.32,3,#N/A,#N/A,,,,33.4936,-117.1484,Riverside,West,77.99937276,95829,98189,100621,102605,104955,107153,79925
Tempe,AZ,1600000US0473000,11.40665915,0.032215111,No,No,4.248791956,20,0,18,0.399162805,0.000429552,44,8.3,1633.544729,13,1890.37,9.19,8.57,0.268449672,51.16624154,0.38276723,6.1842308,4.5,85.1,87.37,2.8,25.4,3.620613921,0.992,8.3,11.0137324,47.4,7.47,10.4,#N/A,#N/A,,,,33.4255,-111.94,Maricopa,Southwest,103.955525,164147,163928,164139,164742,166975,169816,49012
Thornton,CO,1600000US0877290,10.10084277,0.145006928,No,Yes,4.60448598,0,0,0,0.808642131,0.000299232,46,12.5,1386.13571,0,1240.19,2.12,2,17.54444935,27.15970913,1.456675647,5.1196139,7.9,86.2,66.15,6.5,20.6,3.534551922,1,9,9.7823285,29,12.41,3.7,#N/A,#N/A,,,,39.868,-104.9719,Adams,Southwest,92.1179644,112374,115683,118747,121814,124707,127688,66948
Thousand Oaks,CA,1600000US0678582,30.81294069,0.354707519,No,Yes,5,0,1,53,0.893312887,0.000679088,44,7.6,903.0303954,0,1285.35,12.36,12.03,1.819286417,19.9502777,3.142379341,10.0126329,4.4,91.1,88.32,2.3,26.3,8.89893952,0.985,9.3,4.1427078,58.1,6.76,4.5,#N/A,#N/A,,,,34.1706,-118.8376,Ventura,West,142.370623,124671,125633,126570,127356,128126,128565,100946
Toledo,OH,1600000US3977000,29.87448191,0.171175351,No,Yes,5,16,0,18,0.65295652,0.000174208,42,14.8,1312.442652,4,1117.53,13.4,12.87,13.03833097,42.18658858,6.543264547,11.514409,7,87.6,96.67,1.9,28,17.86184257,0.996,17.4,27.9151883,87.3,13.96,14.5,#N/A,#N/A,,,,41.6639,-83.5552,Lucas,Ohio Valley ,215.0760641,291851,289628,287487,285459,283932,282275,33687
Topeka,KS,1600000US2071000,10.16724454,0.292272418,No,No,3.368071252,18,0,2,0.705129678,3.92E-05,41,11.4,810.81272,0,2418.03,0.17,0.19,14.13777466,29.67511663,6.900495018,12.6330367,7.5,86.4,91.45,3,22.4,13.52968181,0.997,16.2,15.3744,72.3,13.3,9.6,#N/A,#N/A,,,,39.0558,-95.689,Shawnee,South,157.4617626,126136,126842,127312,127625,127660,127672,42250
Torrance,CA,1600000US0680000,10.45625624,0.137705921,No,No,2.643081608,0,0,53,0.485777738,0.000361114,48,6.5,2780.214644,12,586.66,9.88,9.64,0.15656396,63.4084407,7.392149821,11.1129169,5.4,91.1,96,1.8,23.9,4.665240913,0.984,9.6,3.5321523,83.5,5.14,5.2,#N/A,#N/A,,,,33.8358,-118.3406,Los Angeles,West,53.08546961,143951,144622,145443,146187,147181,147589,79549
Tucson,AZ,1600000US0477000,15.64390904,0.041745519,No,Yes,5,18,3,18,0.552659977,0.000641939,47,15.8,895.6989201,13,1252.66,9.61,9.02,10.41016818,22.95850036,5.742144769,11.111165,6.2,83.6,86.46,6.2,28.3,2.73698098,0.991,14.8,20.3322639,57.6,13.48,12.9,#N/A,#N/A,,,,32.2217,-110.9265,Pima,Southwest,589.9013476,518457,520981,521695,523278,525031,528374,37149
Tulsa,OK,1600000US4075000,12.60530364,0.124521615,Yes,Yes,5,20,0,4,0.591244059,0.000147593,41,13.1,771.1184165,3,1809.34,28.73,30.98,9.639174184,28.33882497,8.219412081,10.5653884,7.3,80.4,92.5,1.6,22,18.25189858,0.998,14.4,16.664336,70.2,13,8.6,#N/A,#N/A,,,,36.154,-95.9928,Tulsa,South,516.2397778,388247,390704,391486,393709,395599,398082,42284
Vallejo,CA,1600000US0681666,27.62394381,0.505127813,No,Yes,3.177186219,0,0,14,0.543882389,0.000157368,46,12.6,1348.642835,0,2610.47,13.95,14.1,11.42250931,37.61121597,2.941300055,9.1202446,6.2,86.2,92.01,2.9,34.1,7.354084896,0.995,12.4,14.0746312,63.2,14.01,8.2,10.45926299,11.61057187,0.002393166,0.003237867,,38.1041,-122.2566,Solano,West,88.2331459,116030,116021,116417,117079,118078,118995,57028
Vancouver,WA,1600000US5374060,27.42151207,0.327066701,No,No,0,19,0,5,0.659108395,0.000537676,45,10.3,1298.180978,13,1688.52,4.81,5.1,2.463507027,42.60649716,3.516810473,11.4353253,6.5,86,83.85,2.4,21.8,15.0667963,0.997,14.9,20.789858,46.2,12.55,7.3,1.132996132,2.821184171,0.009483297,0.023702762,,45.6318,-122.6716,Clark,Northwest,129.4503639,160202,161606,162699,164111,165554,168050,50626
Victorville,CA,1600000US0682590,11.19193384,0.537385581,Yes,No,1.789795532,0,0,53,0.616807952,0.000103591,47,21.7,635.0137212,5,220.35,11.41,9.76,8.534192441,16.5097312,2.062914758,6.0998557,8.8,84.2,61.93,4.9,35.8,1.322002431,0.994,10.7,24.346108,18.8,13.52,6.3,#N/A,#N/A,,,,34.5362,-117.2928,San Bernardino,West,190.0793573,108088,111704,115069,117551,119603,120703,45894
Virginia Beach,VA,1600000US5182000,1.501617957,0.1349038,No,No,2.953234493,21,1,40,0.530618329,8.03E-05,41,6.7,665.2918848,12,2102.9,18.95,21.17,16.57814671,13.94149991,0.985968904,8.4894311,6.6,90,87.18,1.1,22.6,33.43815076,0.997,10.1,7.431335,44.4,9.55,4.1,5.535033126,8.852082357,0.060639801,0.10623742,,36.8529,-75.978,Virginia Beach,Southeast,673.8245426,435996,436979,439528,442151,445623,448290,66634
Visalia,CA,1600000US0682954,38.60635542,2.683838173,No,No,5,0,0,14,0.498507681,2.64E-05,47,17.3,1372.917769,0,447.72,24.46,24.66,23.39417569,39.33481189,4.54467233,7.8983944,8.8,87.4,74.96,3,27.2,3.89194964,0.998,12.6,19.3985143,44.3,13.89,7.9,#N/A,#N/A,,,,36.3302,-119.2921,Tulare,West,93.11701176,119312,121882,123905,125502,126942,127842,52157
Waco,TX,1600000US4876000,25.72908149,0.500403255,Yes,No,3.216424578,20,0,29,0.659591971,7.04E-05,41,20.8,489.7938526,0,1386.08,29.1,28.66,32.19447239,15.9176406,4.543589823,9.6663028,8.1,80.6,83.92,1.1,30,28.17255816,0.997,12,18.2773604,62.6,14.8,10.1,#N/A,#N/A,,,,31.5493,-97.1467,McLennan,South,263.7701541,122212,123584,124843,126406,127796,129193,33147
Warren,MI,1600000US2684000,19.33395333,0.129471068,No,No,0,0,0,4,0.73494508,0.000415356,36,15.9,1522.284055,0,1139.05,1.07,1.03,1.639189178,58.61703394,2.72881645,12.1305591,6,87.9,96.78,2.8,31.6,6.209043878,0.995,16.5,20.0287888,85.9,10.73,8.8,#N/A,#N/A,,,,42.5145,-83.0147,Macomb,Upper Midwest,88.5885913,135791,135098,134550,134376,134398,134857,43523
Washington,DC,1600000US1150000,2.402034856,0.063940322,No,No,2.645669654,20,1,8,0.607321004,0.000225488,59,10.7,4060.073599,0,8139.31,5.19,4.86,10.21576966,41.93675373,6.318302846,10.1214382,6.2,94.2,89.29,0,23.7,23.3111982,0.989,11.2,15.6070083,81.7,6.58,36.4,1.355400288,1.569459631,0.000973838,0.001041328,,38.9072,-77.0369,DC,Northeast,159.4759268,584400,593955,605759,619371,633736,647484,70848
Waterbury,CT,1600000US0980000,12.65920638,0.057063846,No,No,2.614010909,17,0,6,0.709406793,0.000530025,44,20.9,1474.775039,13,1945.27,5.84,5.57,6.775717163,33.57451611,4.792288523,11.3296695,7.2,87.8,97.13,0.2,32.2,39.05018851,0.996,13.4,30.8755875,77.9,12.97,19.3,#N/A,#N/A,,,,41.5582,-73.0515,New Haven,Northeast,74.28319376,109941,110075,110074,110052,109887,109551,40467
West Covina,CA,1600000US0684200,10.45625624,0.811062898,No,No,5,0,0,53,0.581008515,0.000361114,48,16.9,2596.722053,0,1124.68,10.92,12.12,15.1936242,46.36346162,4.145144987,7.6583593,5.7,85.5,96.47,1,26.7,6.172911223,0.982,10.9,6.6458982,79.1,10.57,4.6,#N/A,#N/A,,,,34.0686,-117.939,Los Angeles,West,41.52812577,105552,105810,106290,106731,107441,107837,69189
West Jordan,UT,1600000US4982950,12.72197593,0.089873627,No,No,5,0,0,0,0.623599016,0.000546824,41,9.3,1316.598017,9,352.34,10.17,12.47,13.51000609,32.41522502,1.670485354,3.5820049,9,88.3,68.29,2.6,20.5,4.017470054,1,7.7,8.2603491,23.1,12.12,2.1,#N/A,#N/A,,,,40.6097,-111.9391,Salt Lake,Southwest,83.20611041,98622,101193,103846,106118,108062,109549,68442
West Palm Beach,FL,1600000US1276600,6.293377526,0.379266751,No,No,2.486600092,19,0,42,0.760151521,0.000390918,42,15.6,684.4052259,12,2463.05,42.11,41.74,43.12570004,20.40038971,8.572421516,12.3450837,5.8,78.4,73.9,0.3,27,21.62852138,0.974,9.8,15.1926508,42.9,13.28,10.5,5.711086226,6.990191914,0.002877086,0.011264047,,26.7153,-80.0534,Palm Beach,Southeast,151.3547765,97798,98795,99803,100778,102283,103588,45800
West Valley City,UT,1600000US4983470,12.72197593,0.175466582,No,No,5,0,0,0,0.427230046,0.000546824,41,22.8,1464.054647,6,1142.47,6.6,8.3,1.982011052,38.3993931,0.755648661,5.0064894,9.4,75.9,82.07,6.6,27.8,6.003561949,0.999,9.1,15.2348604,49,19.55,4.2,#N/A,#N/A,,,,40.6916,-112.0011,Salt Lake,Southwest,91.29440647,125002,127421,129123,130843,132329,133660,52534
Westminster,CO,1600000US0883835,10.10084277,0.059295904,No,Yes,5,0,0,0,0.775603048,0.000762206,44,9,1275.170532,0,1602.61,2.81,2.75,3.402271427,28.24078846,2.079603609,7.3202491,6.6,88.7,86.75,1.7,21.7,4.914684353,0.998,10.3,7.1805677,39.6,10.1,4.6,#N/A,#N/A,,,,39.8367,-105.0372,Adams/Jefferson,Southwest,86.73192898,104869,105801,106750,108042,109296,110598,67081
Wichita,KS,1600000US2079000,27.76347981,0.128858853,No,No,3.287541214,20,2,2,0.584124534,0.000167809,38,12.5,923.2297153,1,1984.73,9.01,8.54,9.393357487,32.73508046,3.592950481,9.814644,7.9,85.1,87.81,3.1,21.1,12.39536351,0.998,12.4,14.4342759,63.1,12.64,7.1,#N/A,#N/A,,,,37.6872,-97.3301,Sedgwick,South,419.3398388,373725,377906,381176,383703,385518,387147,45947
Wichita Falls,TX,1600000US4879000,32.18080888,0.161343123,Yes,Yes,4.86617605,19,0,48,0.489888205,7.58E-05,41,14.7,563.0772188,2,1771.46,12.51,13.59,12.56441324,24.36051074,3.783618931,11.5295699,6.4,82.8,88.98,3,22.8,10.26832591,0.997,14.2,14.4973118,67.2,12,7.7,#N/A,#N/A,,,,33.9137,-98.4934,Wichita,South,186.3438912,104066,103973,104152,104402,104771,104926,44543
Wilmington (DE),DE,1600000US1077580,0.217676287,0.415415096,No,No,3.041149697,19,0,1,0.806140093,0.000625861,47,16.8,2354.642956,2,2477.49,23.94,22.31,22.59021675,46.1516714,6.988217865,13.0362522,7.5,90.2,92.06,0.3,27.1,11.29818139,0.996,13.3,27.4886604,80.8,11.27,23.8,11.02041957,26.90883171,0.000456691,0.019000586,,34.2257,-77.9447,New Castle,Northeast,30.38634788,71437,71292,71119,71143,71263,71549,40465
Wilmington (NC),NC,1600000US3774440,18.32145219,0.038801227,No,No,1.846318202,21,0,4,0.923660514,0.000220563,42,9.7,837.7915578,1,1334.61,19.05,18.18,19.30893264,24.69508384,7.705494741,11.3164688,4.6,85.2,83.34,3,26.8,38.08523981,0.999,13.5,16.1982447,43.7,10.18,9.3,16.6744049,19.25748674,0.027850993,0.034517669,,34.2257,-77.9447,New Hanover,Southeast,133.6824165,104730,105900,107116,108530,110100,111998,42128
Winston-Salem,NC,1600000US3775000,23.64418336,0.327431833,No,No,1.663198761,21,0,0,0.8666714,0.000376019,43,14.9,689.0892134,0,2005.85,8.45,8.48,8.67333166,18.31840593,7.838845175,10.6833071,7.2,83.6,83.4,2.1,26.2,45.38570597,0.998,10.9,16.1600566,58.8,12.91,10.6,#N/A,#N/A,,,,36.0999,-80.2442,Forsyth,Southeast,343.4127184,224769,227691,230030,232219,234469,236642,39882
Worcester,MA,1600000US2582000,19.24006375,0.160462131,No,No,2.380891814,18,0,16,0.569521707,0.000785513,41,15.9,1855.643483,0,3093.88,11.38,10.67,12.84961366,41.76673384,5.545800569,10.9951003,6.2,95.7,93.99,0.4,27,34.51982037,0.996,14.4,23.4732268,80.7,11.11,17.6,#N/A,#N/A,,,,42.2626,-71.8023,Worcester,Northeast,98.82393986,179994,180519,181473,181901,182511,183382,45472
Yonkers,NY,1600000US3684000,1.47534662,0.07208606,No,No,4.094523,16,0,19,0.48208716,0.001351163,48,17,4219.080565,0,1945.6,14.07,14.55,17.20788741,42.42398703,2.100935142,12.9651171,6.5,88.2,95.18,0.1,29,29.82931795,0.995,10.9,17.9259097,88.2,12.05,25.5,0.136385288,0.199563768,0.000500462,0.00057269,,40.9312,-73.8987,Westchester,Northeast,47.2697776,194880,195506,196459,197493,198654,199435,59049
